California Polytechnic,State University,1 Grand Ave,San Luis Obispo,CA,93407,San Luis Obispo County,-120.660787,35.300697
Cuesta College,San Luis Obispo Campus,1504 Colusa Ave,San Luis Obispo,CA,93403,San Luis Obispo County,-120.740212,35.329118
Cuesta College,North County Campus,2800 Buena Vista Drive,Paso Robles,CA,93446,San Luis Obispo County,-120.670402,35.650222
Cuesta College,South County Center,495 Valley Road,Arroyo Grande,CA,93420,San Luis Obispo County,-120.578136,35.116100
